,Kms_Driven
7,-0.09047281830902404
8,-0.4287874037589191
10,-0.8952171659123241
11,0.3613761920999229
22,0.3356605805576688
25,-0.43580776570995444
32,0.052788853592873594
34,0.20708252284639825
35,0.3356091493345843
39,0.6442479190647181
40,-0.3194703390927969
49,0.0013576305083653755
54,1.3642850422478332
56,0.0922366016986914
59,0.10422007667738181
72,0.4899799654227357
78,1.107128926825292
79,1.338569430705579
81,0.0785044651351277
84,4.12038142490046
85,2.7014968424450467
86,1.0556977037407838
92,0.9785508691140214
97,-0.7263941761374259
99,0.3362777552346829
100,-0.8729731619282743
102,-0.8472575503860202
104,-0.8446859892317948
112,-0.7701107157592578
113,-0.05007359257614284
115,-0.5000967945655898
118,-0.28151409645642983
146,-0.564385823421225
148,0.20708252284639825
149,-0.33294531954093803
151,-0.15293603874515926
155,-0.839542866923344
174,0.042502608975971946
176,-0.1786516502874134
177,-0.33294531954093803
179,4.527305261945088
182,-0.1786516502874134
183,-0.41009215416770034
196,11.907685774572018
199,0.4128074151844311
207,-0.055293861719220426
212,-0.36712136728059375
217,-0.564385823421225
220,0.03962246048323949
239,-0.34042856249973397
240,-0.11894000028629935
245,0.875688422945005
250,-0.026055211395677503
253,0.2842293574731606
254,0.4447462047199107
262,0.07909592420059955
263,-0.5386187806558864
268,-0.4615233772522086
269,-0.4659464624374763
271,0.8387093735472436
293,0.027073242050619485
297,0.5928166959802099
300,-0.8096098950881602
